,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-07,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-08,308,0,14,0,0,0,0,14,0,0,7,0,0,0,0,7,70,0,0,77
2020-12-09,840,7,42,0,0,0,0,56,21,0,35,0,7,0,0,7,203,0,7,217
2020-12-10,1442,14,77,0,0,7,0,105,28,0,70,0,14,0,0,21,343,0,7,385
2020-12-11,2072,14,112,7,7,7,0,175,49,0,98,0,21,7,0,28,497,0,14,595
2020-12-12,2625,21,147,7,7,21,0,210,56,0,133,7,28,7,0,35,623,0,21,763
2020-12-13,2933,21,168,7,7,21,0,259,63,0,147,7,28,7,0,42,707,0,35,847
2020-12-14,3444,28,189,7,14,21,7,294,77,0,182,7,35,7,7,56,861,0,35,1008
2020-12-15,4452,35,259,7,14,21,14,392,98,7,217,7,42,7,7,63,1078,0,42,1274
2020-12-16,5642,49,322,14,14,35,28,490,126,21,266,14,63,21,14,77,1344,0,56,1603
2020-12-17,7035,70,399,14,21,42,42,616,175,28,329,14,84,21,28,91,1680,0,77,2044
2020-12-18,8407,84,490,28,28,56,56,770,217,35,399,28,112,21,35,112,2037,0,98,2464
2020-12-19,9548,91,553,28,35,56,63,896,238,42,455,35,126,21,35,126,2282,0,112,2814
2020-12-20,11095,112,609,35,35,70,77,1050,273,56,532,42,140,21,42,154,2674,0,126,3255
2020-12-21,13097,133,707,35,49,77,84,1183,315,63,630,56,161,28,49,175,3136,0,154,3822
2020-12-22,14931,154,798,42,56,91,98,1337,364,77,721,70,189,28,63,189,3556,0,182,4305
2020-12-23,17052,175,896,56,70,98,105,1533,413,91,847,77,210,42,70,224,4067,0,210,4921
2020-12-24,17983,189,938,56,70,98,105,1631,448,98,903,84,231,49,84,245,4298,0,224,5222
2020-12-25,17990,189,938,56,70,98,112,1638,455,98,910,84,231,49,84,245,4298,0,224,5229
2020-12-26,18074,189,952,56,70,98,119,1645,462,98,917,84,231,49,84,245,4319,0,224,5250
2020-12-27,18305,196,973,56,70,98,119,1666,462,98,945,84,238,49,84,252,4375,0,224,5355
