,True
2020-12-01,7
2020-12-02,7
2020-12-03,7
2020-12-04,14
2020-12-05,14
2020-12-06,14
2020-12-07,14
2020-12-08,560
2020-12-09,1505
2020-12-10,2618
2020-12-11,3808
2020-12-12,4830
2020-12-13,5404
2020-12-14,6391
2020-12-15,8183
2020-12-16,10311
2020-12-17,12929
2020-12-18,15582
2020-12-19,17682
2020-12-20,20510
2020-12-21,24073
2020-12-22,27384
2020-12-23,31255
2020-12-24,33061
2020-12-25,33089
2020-12-26,33250
2020-12-27,33761
2020-12-28,34608
2020-12-29,37520
2020-12-30,43204
2020-12-31,48531
2021-01-01,50120
2021-01-02,52024
2021-01-03,53501
2021-01-04,56119
2021-01-05,61201
2021-01-06,68145
2021-01-07,78008
2021-01-08,89131
2021-01-09,98392
2021-01-10,104300
2021-01-11,112546
2021-01-12,122500
2021-01-13,133707
2021-01-14,146174
2021-01-15,160468
2021-01-16,171969
2021-01-17,179361
2021-01-18,189014
2021-01-19,200088
2021-01-20,212338
2021-01-21,225512
2021-01-22,240716
2021-01-23,253694
2021-01-24,261058
2021-01-25,269745
2021-01-26,279965
2021-01-27,290745
2021-01-28,302477
2021-01-29,315770
2021-01-30,326550
2021-01-31,334726
2021-02-01,342937
2021-02-02,353192
2021-02-03,364854
2021-02-04,378315
2021-02-05,392868
2021-02-06,409990
2021-02-07,418096
2021-02-08,427308
2021-02-09,440580
2021-02-10,458696
2021-02-11,482727
2021-02-12,518798
2021-02-13,558005
2021-02-14,579306
2021-02-15,603918
2021-02-16,670397
2021-02-17,793170
2021-02-18,914536
2021-02-19,1011927
2021-02-20,1114071
2021-02-21,1142841
2021-02-22,1180963
2021-02-23,1281518
2021-02-24,1428308
2021-02-25,1576323
2021-02-26,1728706
2021-02-27,1851542
2021-02-28,1887060
2021-03-01,1915753
2021-03-02,1952433
2021-03-03,2009630
2021-03-04,2101673
2021-03-05,2218104
2021-03-06,2332589
2021-03-07,2360638
2021-03-08,2393566
2021-03-09,2428111
2021-03-10,2468823
2021-03-11,2504915
2021-03-12,2569413
2021-03-13,2665404
2021-03-14,2707257
2021-03-15,2757790
2021-03-16,2813258
2021-03-17,2861474
2021-03-18,2876832
2021-03-19,2876846
total,4165987
