,F,M
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,14,7
2020-12-10,35,14
2020-12-11,49,21
2020-12-12,56,21
2020-12-13,70,21
2020-12-14,98,28
2020-12-15,175,56
2020-12-16,273,119
2020-12-17,525,315
2020-12-18,756,490
2020-12-19,1043,693
2020-12-20,1253,833
2020-12-21,1498,1015
2020-12-22,1715,1176
2020-12-23,1890,1358
2020-12-24,1995,1442
2020-12-25,1995,1442
2020-12-26,1995,1442
2020-12-27,1995,1449
2020-12-28,2023,1463
2020-12-29,2149,1561
2020-12-30,2884,2247
2020-12-31,3752,2912
2021-01-01,3983,3108
2021-01-02,4312,3409
2021-01-03,4354,3437
2021-01-04,4396,3465
2021-01-05,4529,3556
2021-01-06,5558,4494
2021-01-07,9933,8505
2021-01-08,15512,13454
2021-01-09,19586,16933
2021-01-10,21665,18627
2021-01-11,23086,19866
2021-01-12,26131,22477
2021-01-13,33425,29001
2021-01-14,41216,36029
2021-01-15,50722,44310
2021-01-16,58506,50834
2021-01-17,61586,53410
2021-01-18,64610,56119
2021-01-19,79135,69377
2021-01-20,97601,85701
2021-01-21,118335,103838
2021-01-22,149212,131348
2021-01-23,187488,164689
2021-01-24,200494,176253
2021-01-25,210630,185619
2021-01-26,225043,198471
2021-01-27,238777,210917
2021-01-28,261940,232344
2021-01-29,298837,266595
2021-01-30,333774,297157
2021-01-31,351078,312921
2021-02-01,364070,324688
2021-02-02,374724,334586
2021-02-03,384531,343161
2021-02-04,393190,350924
2021-02-05,400225,357084
2021-02-06,407064,362649
2021-02-07,409885,365106
2021-02-08,412741,367598
2021-02-09,416094,370468
2021-02-10,418838,372722
2021-02-11,421659,374983
2021-02-12,424186,376922
2021-02-13,426223,378504
2021-02-14,426881,379057
2021-02-15,427574,379603
2021-02-16,428302,380191
2021-02-17,429072,380779
2021-02-18,429744,381248
2021-02-19,430255,381661
2021-02-20,430710,381983
2021-02-21,430836,382088
2021-02-22,431060,382256
2021-02-23,431424,382529
2021-02-24,431921,382879
2021-02-25,432481,383313
2021-02-26,432978,383705
2021-02-27,433314,383957
2021-02-28,433419,384048
2021-03-01,433580,384153
2021-03-02,433776,384321
2021-03-03,434014,384475
2021-03-04,434364,384720
2021-03-05,434756,385028
2021-03-06,435043,385217
2021-03-07,435113,385273
2021-03-08,435260,385378
2021-03-09,435407,385497
2021-03-10,435547,385609
total,459172,407379
