,F,M
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,147,56
2020-12-09,413,126
2020-12-10,623,196
2020-12-11,847,280
2020-12-12,1092,350
2020-12-13,1267,399
2020-12-14,1547,462
2020-12-15,1967,602
2020-12-16,2569,749
2020-12-17,3248,952
2020-12-18,3878,1134
2020-12-19,4438,1288
2020-12-20,5243,1526
2020-12-21,6314,1764
2020-12-22,7147,1988
2020-12-23,8211,2296
2020-12-24,8708,2457
2020-12-25,8708,2464
2020-12-26,8722,2471
2020-12-27,8883,2513
2020-12-28,9107,2562
2020-12-29,9779,2723
2020-12-30,11473,3115
2020-12-31,13132,3514
2021-01-01,13538,3598
2021-01-02,14014,3717
2021-01-03,14357,3815
2021-01-04,15043,4004
2021-01-05,16457,4368
2021-01-06,18410,4830
2021-01-07,21294,5565
2021-01-08,24080,6258
2021-01-09,26558,6860
2021-01-10,28028,7189
2021-01-11,29967,7658
2021-01-12,32396,8239
2021-01-13,35119,8883
2021-01-14,38010,9625
2021-01-15,41034,10437
2021-01-16,43897,11193
2021-01-17,46025,11746
2021-01-18,48083,12320
2021-01-19,50505,12992
2021-01-20,53067,13741
2021-01-21,55328,14406
2021-01-22,57393,15043
2021-01-23,59346,15659
2021-01-24,60669,16058
2021-01-25,62097,16562
2021-01-26,63595,17045
2021-01-27,65044,17605
2021-01-28,66598,18137
2021-01-29,68327,18767
2021-01-30,69608,19299
2021-01-31,70630,19656
2021-02-01,71526,19971
2021-02-02,72548,20391
2021-02-03,73738,20832
2021-02-04,74823,21301
2021-02-05,75663,21588
2021-02-06,76237,21812
2021-02-07,76608,21966
2021-02-08,77021,22134
2021-02-09,77623,22435
2021-02-10,78344,22792
2021-02-11,79331,23310
2021-02-12,80269,23849
2021-02-13,80843,24206
2021-02-14,81200,24409
2021-02-15,81515,24598
2021-02-16,83034,25683
2021-02-17,85799,27622
2021-02-18,87969,29246
2021-02-19,89677,30471
2021-02-20,90629,31178
2021-02-21,90916,31416
2021-02-22,91231,31640
2021-02-23,93261,33159
2021-02-24,96257,35343
2021-02-25,99246,37674
2021-02-26,102956,40607
2021-02-27,105238,42392
2021-02-28,105798,42896
2021-03-01,106001,43113
2021-03-02,106148,43211
2021-03-03,106330,43323
2021-03-04,106470,43400
2021-03-05,106729,43610
2021-03-06,106932,43757
2021-03-07,107023,43848
2021-03-08,107072,43897
2021-03-09,107296,44100
2021-03-10,107849,44632
2021-03-11,108136,44884
2021-03-12,108451,45178
2021-03-13,108626,45353
2021-03-14,108703,45451
2021-03-15,108780,45500
2021-03-16,108997,45703
2021-03-17,109277,45920
2021-03-18,109438,46046
2021-03-19,109788,46347
2021-03-20,109858,46424
2021-03-21,109914,46480
2021-03-22,109949,46501
2021-03-23,110124,46662
2021-03-24,110355,46865
2021-03-25,110544,47026
2021-03-26,110719,47180
2021-03-27,110824,47264
2021-03-28,110852,47285
2021-03-29,110894,47313
2021-03-30,110936,47341
2021-03-31,111013,47397
2021-04-01,111132,47509
2021-04-02,111216,47565
2021-04-03,111293,47628
2021-04-04,111293,47635
2021-04-05,111307,47635
2021-04-06,111321,47642
2021-04-07,111349,47663
2021-04-08,111391,47698
2021-04-09,111440,47740
2021-04-10,111503,47782
2021-04-11,111517,47796
2021-04-12,111531,47803
2021-04-13,111552,47810
2021-04-14,111566,47817
2021-04-15,111594,47838
2021-04-16,111629,47859
2021-04-17,111664,47880
2021-04-18,111678,47901
2021-04-19,111692,47908
2021-04-20,111706,47915
2021-04-21,111713,47922
total,594538,583373
