,True
2020-12-01,7
2020-12-02,7
2020-12-03,7
2020-12-04,14
2020-12-05,14
2020-12-06,14
2020-12-07,14
2020-12-08,336
2020-12-09,826
2020-12-10,1505
2020-12-11,2247
2020-12-12,2835
2020-12-13,3108
2020-12-14,3689
2020-12-15,4830
2020-12-16,6083
2020-12-17,7658
2020-12-18,9317
2020-12-19,10598
2020-12-20,12355
2020-12-21,14532
2020-12-22,16513
2020-12-23,18767
2020-12-24,19838
2020-12-25,19852
2020-12-26,19999
2020-12-27,20279
2020-12-28,20790
2020-12-29,22659
2020-12-30,25998
2020-12-31,28959
2021-01-01,29925
2021-01-02,31129
2021-01-03,32004
2021-01-04,33593
2021-01-05,36729
2021-01-06,41034
2021-01-07,46690
2021-01-08,53200
2021-01-09,58548
2021-01-10,62069
2021-01-11,66885
2021-01-12,72520
2021-01-13,78897
2021-01-14,86156
2021-01-15,94458
2021-01-16,100604
2021-01-17,104545
2021-01-18,110194
2021-01-19,116529
2021-01-20,123424
2021-01-21,131047
2021-01-22,139496
2021-01-23,146979
2021-01-24,151109
2021-01-25,155911
2021-01-26,161518
2021-01-27,167937
2021-01-28,175000
2021-01-29,182938
2021-01-30,189308
2021-01-31,194418
2021-02-01,199668
2021-02-02,206381
2021-02-03,214018
2021-02-04,222516
2021-02-05,232232
2021-02-06,244251
2021-02-07,249599
2021-02-08,255885
2021-02-09,264796
2021-02-10,276647
2021-02-11,291354
2021-02-12,313719
2021-02-13,338198
2021-02-14,351533
2021-02-15,367213
2021-02-16,404005
2021-02-17,470736
2021-02-18,538531
2021-02-19,594678
2021-02-20,654430
2021-02-21,669970
2021-02-22,692342
2021-02-23,748818
2021-02-24,835380
2021-02-25,920486
2021-02-26,1007895
2021-02-27,1080870
2021-02-28,1100806
2021-03-01,1117662
2021-03-02,1139950
2021-03-03,1169581
2021-03-04,1222620
2021-03-05,1296358
2021-03-06,1364475
2021-03-07,1381394
2021-03-08,1401351
2021-03-09,1421231
2021-03-10,1444779
2021-03-11,1466444
2021-03-12,1504111
2021-03-13,1561378
2021-03-14,1586361
2021-03-15,1615208
2021-03-16,1647163
2021-03-17,1675247
2021-03-18,1703653
2021-03-19,1734173
2021-03-20,1769824
2021-03-21,1783747
2021-03-22,1796158
2021-03-23,1807323
2021-03-24,1812846
2021-03-25,1812874
total,2428272
