,True
2020-12-29,77
2020-12-30,217
2020-12-31,343
2021-01-01,357
2021-01-02,567
2021-01-03,784
2021-01-04,1134
2021-01-05,1582
2021-01-06,2142
2021-01-07,2779
2021-01-08,3416
2021-01-09,3752
2021-01-10,4277
2021-01-11,4529
2021-01-12,4676
2021-01-13,4746
2021-01-14,4816
2021-01-15,4865
2021-01-16,4907
2021-01-17,4928
2021-01-18,4949
2021-01-19,4984
2021-01-20,5026
2021-01-21,5068
2021-01-22,5096
2021-01-23,5131
2021-01-24,5145
2021-01-25,5159
2021-01-26,5166
2021-01-27,5173
2021-01-28,5201
2021-01-29,5264
2021-01-30,5348
2021-01-31,5439
2021-02-01,5509
2021-02-02,5579
2021-02-03,5677
2021-02-04,5803
2021-02-05,5908
2021-02-06,5929
2021-02-07,5936
2021-02-08,5978
2021-02-09,6097
2021-02-10,6279
2021-02-11,6468
2021-02-12,6650
2021-02-13,6762
2021-02-14,6804
2021-02-15,6895
2021-02-16,7063
2021-02-17,7287
2021-02-18,7483
2021-02-19,7686
2021-02-20,7833
2021-02-21,7966
2021-02-22,8225
2021-02-23,8603
2021-02-24,9135
2021-02-25,9779
2021-02-26,10437
2021-02-27,11025
2021-02-28,11410
2021-03-01,11830
2021-03-02,12502
2021-03-03,13363
2021-03-04,14126
2021-03-05,14847
2021-03-06,15393
2021-03-07,15750
2021-03-08,16527
2021-03-09,17724
2021-03-10,19306
2021-03-11,20986
2021-03-12,22505
2021-03-13,23387
2021-03-14,23968
2021-03-15,25179
2021-03-16,27174
2021-03-17,29785
2021-03-18,32823
2021-03-19,35525
2021-03-20,37331
2021-03-21,38577
2021-03-22,40915
2021-03-23,44282
2021-03-24,48860
2021-03-25,53662
2021-03-26,58632
2021-03-27,63392
2021-03-28,65863
2021-03-29,69832
2021-03-30,75033
2021-03-31,81144
2021-04-01,88550
2021-04-02,93030
2021-04-03,96635
2021-04-04,98021
2021-04-05,99890
2021-04-06,104006
2021-04-07,110369
2021-04-08,117579
2021-04-09,124852
2021-04-10,131656
2021-04-11,135268
2021-04-12,139335
2021-04-13,144081
2021-04-14,150451
2021-04-15,157423
2021-04-16,163485
2021-04-17,170562
2021-04-18,174216
2021-04-19,178003
2021-04-20,182973
2021-04-21,189945
2021-04-22,189945
total,1754263
