,False
2020-12-29,70
2020-12-30,210
2020-12-31,287
2021-01-01,294
2021-01-02,420
2021-01-03,574
2021-01-04,840
2021-01-05,1218
2021-01-06,1708
2021-01-07,2254
2021-01-08,2793
2021-01-09,3178
2021-01-10,3689
2021-01-11,3927
2021-01-12,4074
2021-01-13,4130
2021-01-14,4172
2021-01-15,4228
2021-01-16,4263
2021-01-17,4291
2021-01-18,4298
2021-01-19,4319
2021-01-20,4354
2021-01-21,4382
2021-01-22,4417
2021-01-23,4431
2021-01-24,4445
2021-01-25,4452
2021-01-26,4459
2021-01-27,4459
2021-01-28,4487
2021-01-29,4571
2021-01-30,4655
2021-01-31,4753
2021-02-01,4802
2021-02-02,4851
2021-02-03,4956
2021-02-04,5096
2021-02-05,5187
2021-02-06,5201
2021-02-07,5222
2021-02-08,5243
2021-02-09,5369
2021-02-10,5572
2021-02-11,5747
2021-02-12,5915
2021-02-13,6020
2021-02-14,6076
2021-02-15,6174
2021-02-16,6342
2021-02-17,6566
2021-02-18,6748
2021-02-19,6944
2021-02-20,7077
2021-02-21,7182
2021-02-22,7378
2021-02-23,7686
2021-02-24,8197
2021-02-25,8736
2021-02-26,9254
2021-02-27,9695
2021-02-28,10031
2021-03-01,10388
2021-03-02,10948
2021-03-03,11634
2021-03-04,12383
2021-03-05,12992
2021-03-06,13349
2021-03-07,13601
2021-03-08,14252
2021-03-09,15197
2021-03-10,16520
2021-03-11,17871
2021-03-12,19194
2021-03-13,19894
2021-03-14,20370
2021-03-15,21336
2021-03-16,23030
2021-03-17,25221
2021-03-18,27650
2021-03-19,29750
2021-03-20,31185
2021-03-21,32200
2021-03-22,34125
2021-03-23,36820
2021-03-24,40544
2021-03-25,44212
2021-03-26,47859
2021-03-27,51429
2021-03-28,53452
2021-03-29,56721
2021-03-30,60823
2021-03-31,65366
2021-04-01,70329
2021-04-02,73535
2021-04-03,76062
2021-04-04,77266
2021-04-05,78799
2021-04-06,81991
2021-04-07,86366
2021-04-08,90958
2021-04-09,95375
2021-04-10,99190
2021-04-11,101241
2021-04-12,104111
2021-04-13,107373
2021-04-14,110768
2021-04-15,114401
2021-04-16,117558
2021-04-17,120561
2021-04-18,122311
2021-04-19,124327
2021-04-20,126476
2021-04-21,129213
total,1177911
