,False
2020-12-27,0
2020-12-28,0
2020-12-29,35
2020-12-30,98
2020-12-31,161
2021-01-01,182
2021-01-02,245
2021-01-03,287
2021-01-04,427
2021-01-05,623
2021-01-06,896
2021-01-07,1246
2021-01-08,1624
2021-01-09,1946
2021-01-10,2317
2021-01-11,2499
2021-01-12,2611
2021-01-13,2709
2021-01-14,2793
2021-01-15,2828
2021-01-16,2856
2021-01-17,2863
2021-01-18,2891
2021-01-19,2912
2021-01-20,2947
2021-01-21,2982
2021-01-22,3003
2021-01-23,3017
2021-01-24,3024
2021-01-25,3038
2021-01-26,3045
2021-01-27,3059
2021-01-28,3087
2021-01-29,3157
2021-01-30,3213
2021-01-31,3276
2021-02-01,3304
2021-02-02,3339
2021-02-03,3388
2021-02-04,3444
2021-02-05,3493
2021-02-06,3507
2021-02-07,3514
2021-02-08,3535
2021-02-09,3584
2021-02-10,3668
2021-02-11,3752
2021-02-12,3843
2021-02-13,3892
2021-02-14,3906
2021-02-15,3955
2021-02-16,4046
2021-02-17,4137
2021-02-18,4277
2021-02-19,4396
2021-02-20,4445
2021-02-21,4487
2021-02-22,4578
2021-02-23,4795
2021-02-24,5068
2021-02-25,5565
2021-02-26,5957
2021-02-27,6258
2021-02-28,6419
2021-03-01,6587
2021-03-02,6958
2021-03-03,7469
2021-03-04,8071
2021-03-05,8596
2021-03-06,8981
2021-03-07,9128
2021-03-08,9520
2021-03-09,10171
2021-03-10,10829
2021-03-11,11403
2021-03-12,11620
total,1395730
