,F,M
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,147,56
2020-12-09,420,126
2020-12-10,623,196
2020-12-11,847,273
2020-12-12,1092,350
2020-12-13,1274,399
2020-12-14,1547,462
2020-12-15,1967,602
2020-12-16,2569,756
2020-12-17,3248,952
2020-12-18,3878,1134
2020-12-19,4431,1288
2020-12-20,5236,1533
2020-12-21,6307,1764
2020-12-22,7140,1988
2020-12-23,8211,2296
2020-12-24,8701,2464
2020-12-25,8701,2464
2020-12-26,8708,2471
2020-12-27,8876,2520
2020-12-28,9100,2562
2020-12-29,9765,2730
2020-12-30,11459,3115
2020-12-31,13111,3521
2021-01-01,13510,3605
2021-01-02,13979,3717
2021-01-03,14322,3815
2021-01-04,15008,4011
2021-01-05,16415,4368
2021-01-06,18361,4830
2021-01-07,21224,5558
2021-01-08,24003,6251
2021-01-09,26467,6846
2021-01-10,27930,7168
2021-01-11,29869,7637
2021-01-12,32277,8218
2021-01-13,34979,8855
2021-01-14,37863,9597
2021-01-15,40873,10402
2021-01-16,43722,11158
2021-01-17,45843,11711
2021-01-18,47901,12292
2021-01-19,50302,12957
2021-01-20,52857,13699
2021-01-21,55118,14371
2021-01-22,57176,15001
2021-01-23,59129,15603
2021-01-24,60452,16009
2021-01-25,61880,16506
2021-01-26,63371,16989
2021-01-27,64813,17542
2021-01-28,66360,18074
2021-01-29,68075,18704
2021-01-30,69349,19236
2021-01-31,70385,19586
2021-02-01,71274,19908
2021-02-02,72296,20328
2021-02-03,73472,20769
2021-02-04,74557,21231
2021-02-05,75383,21525
2021-02-06,75964,21742
2021-02-07,76335,21896
2021-02-08,76734,22064
2021-02-09,77336,22365
2021-02-10,78057,22722
2021-02-11,79051,23247
2021-02-12,79989,23786
2021-02-13,80563,24143
2021-02-14,80913,24332
2021-02-15,81228,24521
2021-02-16,82747,25592
2021-02-17,85512,27538
2021-02-18,87689,29162
2021-02-19,89404,30387
2021-02-20,90363,31101
2021-02-21,90650,31332
2021-02-22,90972,31563
2021-02-23,93009,33089
2021-02-24,96005,35280
2021-02-25,98994,37611
2021-02-26,102725,40565
2021-02-27,105014,42364
2021-02-28,105581,42875
2021-03-01,105791,43085
2021-03-02,105938,43183
2021-03-03,106120,43302
2021-03-04,106260,43372
2021-03-05,106519,43589
2021-03-06,106722,43736
2021-03-07,106813,43827
2021-03-08,106869,43876
2021-03-09,107100,44086
2021-03-10,107646,44611
2021-03-11,107940,44863
2021-03-12,108255,45164
2021-03-13,108423,45339
2021-03-14,108493,45423
2021-03-15,108570,45479
2021-03-16,108794,45682
2021-03-17,109053,45878
total,595049,583905
