,False
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,7
2020-12-24,7
2020-12-25,7
2020-12-26,7
2020-12-27,7
2020-12-28,7
2020-12-29,21
2020-12-30,42
2020-12-31,56
2021-01-01,105
2021-01-02,126
2021-01-03,126
2021-01-04,238
2021-01-05,413
2021-01-06,623
2021-01-07,1050
2021-01-08,2184
2021-01-09,3332
2021-01-10,3920
2021-01-11,5544
2021-01-12,7469
2021-01-13,9674
2021-01-14,12348
2021-01-15,15932
2021-01-16,18494
2021-01-17,19544
2021-01-18,21875
2021-01-19,24059
2021-01-20,26789
2021-01-21,30814
2021-01-22,35791
2021-01-23,39543
2021-01-24,41321
2021-01-25,43918
2021-01-26,46879
2021-01-27,49777
2021-01-28,52556
2021-01-29,55860
2021-01-30,58625
2021-01-31,60459
2021-02-01,62335
2021-02-02,64449
2021-02-03,66661
2021-02-04,69531
2021-02-05,73486
2021-02-06,77868
2021-02-07,80136
2021-02-08,82782
2021-02-09,85624
2021-02-10,88550
2021-02-11,91623
2021-02-12,96558
2021-02-13,103131
2021-02-14,107009
2021-02-15,111286
2021-02-16,115752
2021-02-17,120715
2021-02-18,126742
2021-02-19,133693
2021-02-20,143836
2021-02-21,148302
2021-02-22,153650
2021-02-23,159131
2021-02-24,165305
2021-02-25,173271
2021-02-26,182224
2021-02-27,193102
2021-02-28,200039
2021-03-01,207515
2021-03-02,215838
2021-03-03,226415
2021-03-04,243138
2021-03-05,263816
2021-03-06,284536
2021-03-07,291228
2021-03-08,299404
2021-03-09,307734
2021-03-10,318003
2021-03-11,325962
2021-03-12,331583
2021-03-13,331583
total,3076864
