,False
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,7
2020-12-24,7
2020-12-25,7
2020-12-26,7
2020-12-27,7
2020-12-28,7
2020-12-29,21
2020-12-30,42
2020-12-31,56
2021-01-01,105
2021-01-02,126
2021-01-03,126
2021-01-04,238
2021-01-05,406
2021-01-06,637
2021-01-07,1064
2021-01-08,2198
2021-01-09,3360
2021-01-10,3948
2021-01-11,5593
2021-01-12,7525
2021-01-13,9730
2021-01-14,12418
2021-01-15,16009
2021-01-16,18578
2021-01-17,19635
2021-01-18,21973
2021-01-19,24164
2021-01-20,26887
2021-01-21,30919
2021-01-22,35903
2021-01-23,39669
2021-01-24,41447
2021-01-25,44058
2021-01-26,47026
2021-01-27,49924
2021-01-28,52703
2021-01-29,56014
2021-01-30,58800
2021-01-31,60634
2021-02-01,62510
2021-02-02,64624
2021-02-03,66850
2021-02-04,69720
2021-02-05,73675
2021-02-06,78064
2021-02-07,80332
2021-02-08,82992
2021-02-09,85827
2021-02-10,88753
2021-02-11,91833
2021-02-12,96761
2021-02-13,103327
2021-02-14,107191
2021-02-15,111475
2021-02-16,115941
2021-02-17,120911
2021-02-18,126966
2021-02-19,133938
2021-02-20,144088
2021-02-21,148547
2021-02-22,153888
2021-02-23,159376
2021-02-24,165564
2021-02-25,173537
2021-02-26,182476
2021-02-27,193375
2021-02-28,200305
2021-03-01,207816
2021-03-02,216195
2021-03-03,226912
2021-03-04,243719
2021-03-05,264852
2021-03-06,285614
2021-03-07,292320
2021-03-08,300601
2021-03-09,309225
2021-03-10,320208
2021-03-11,333550
2021-03-12,362313
2021-03-13,428120
2021-03-14,456848
2021-03-15,495838
2021-03-16,562863
2021-03-17,656159
2021-03-18,736939
2021-03-19,851151
2021-03-20,995813
2021-03-21,1051883
2021-03-22,1102472
2021-03-23,1147776
2021-03-24,1165143
2021-03-25,1165171
total,3097724
