,True
2020-12-08,266
2020-12-09,672
2020-12-10,1239
2020-12-11,1855
2020-12-12,2324
2020-12-13,2555
2020-12-14,3010
2020-12-15,3920
2020-12-16,4921
2020-12-17,6230
2020-12-18,7616
2020-12-19,8659
2020-12-20,10087
2020-12-21,12005
2020-12-22,13713
2020-12-23,15659
2020-12-24,16695
2020-12-25,16709
2020-12-26,16842
2020-12-27,17080
2020-12-28,17514
2020-12-29,19152
2020-12-30,22022
2020-12-31,24661
2021-01-01,25508
2021-01-02,26551
2021-01-03,27328
2021-01-04,28735
2021-01-05,31367
2021-01-06,35063
2021-01-07,39816
2021-01-08,45122
2021-01-09,49658
2021-01-10,52906
2021-01-11,56735
2021-01-12,61201
2021-01-13,66115
2021-01-14,71421
2021-01-15,76958
2021-01-16,81263
2021-01-17,84350
2021-01-18,88333
2021-01-19,93058
2021-01-20,97853
2021-01-21,102368
2021-01-22,107009
2021-01-23,111111
2021-01-24,113764
2021-01-25,116480
2021-01-26,119707
2021-01-27,123158
2021-01-28,127155
2021-01-29,131537
2021-01-30,135324
2021-01-31,138929
2021-02-01,142135
2021-02-02,146377
2021-02-03,151137
2021-02-04,154868
2021-02-05,157276
2021-02-06,159362
2021-02-07,160426
2021-02-08,161840
2021-02-09,164801
2021-02-10,169673
2021-02-11,177429
2021-02-12,185325
2021-02-13,190820
2021-02-14,193137
2021-02-15,196406
2021-02-16,219100
2021-02-17,272258
2021-02-18,320026
2021-02-19,350308
2021-02-20,364700
2021-02-21,370139
2021-02-22,375018
2021-02-23,414001
2021-02-24,482132
2021-02-25,547176
2021-02-26,608461
2021-02-27,650139
2021-02-28,656768
2021-03-01,658056
2021-03-02,659106
2021-03-03,661178
2021-03-04,663334
2021-03-05,666099
2021-03-06,667212
2021-03-07,667415
2021-03-08,667646
2021-03-09,668402
2021-03-10,669361
2021-03-11,671111
2021-03-12,672490
2021-03-13,673435
2021-03-14,673582
2021-03-15,673792
2021-03-16,674331
2021-03-17,675108
2021-03-18,675864
2021-03-19,676599
2021-03-20,677040
2021-03-21,677117
2021-03-22,677313
2021-03-23,677761
2021-03-24,678118
2021-03-25,678118
total,2428272
