,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2020-12-08,161,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,28,0,0,28
2020-12-09,406,7,21,0,0,0,0,28,7,0,14,0,0,0,0,7,70,0,0,77
2020-12-10,721,14,42,0,0,7,0,49,14,0,28,0,7,0,0,14,140,0,0,161
2020-12-11,1064,14,63,0,7,7,0,84,28,0,49,0,7,7,0,14,203,0,7,252
2020-12-12,1344,14,84,0,7,7,0,105,28,0,63,0,14,7,0,21,245,0,7,322
2020-12-13,1477,14,98,0,7,14,0,119,28,0,77,0,14,7,0,21,266,0,7,350
2020-12-14,1736,21,112,0,14,14,7,133,35,0,84,0,14,7,7,28,322,0,14,413
2020-12-15,2282,28,147,0,14,14,14,175,49,7,112,0,21,7,7,28,413,0,14,525
2020-12-16,2884,35,175,7,14,21,21,231,70,14,140,7,28,14,7,35,497,0,21,651
2020-12-17,3619,49,217,7,14,28,28,308,98,14,175,7,42,14,7,49,637,0,28,826
2020-12-18,4375,63,266,14,21,28,42,406,119,21,224,14,56,14,14,56,791,0,35,1015
2020-12-19,4963,63,294,14,21,35,42,462,133,28,252,21,63,14,14,63,896,0,42,1176
2020-12-20,5803,77,322,14,21,35,49,546,154,42,294,21,70,14,21,84,1050,0,49,1358
2020-12-21,6958,91,378,21,28,42,56,616,182,42,350,28,84,21,28,91,1267,0,56,1603
2020-12-22,7980,105,434,21,35,49,56,686,203,49,413,42,91,21,28,98,1449,0,70,1820
2020-12-23,9121,112,497,28,42,49,63,770,231,56,476,49,105,28,35,119,1659,0,84,2079
2020-12-24,9709,119,518,28,42,56,70,826,252,56,525,56,119,35,42,133,1764,0,84,2219
2020-12-25,9716,119,518,28,42,56,70,826,252,56,525,56,119,35,42,133,1764,0,84,2219
2020-12-26,9779,119,532,28,42,56,70,840,259,56,539,56,119,35,42,133,1778,0,84,2233
2020-12-27,9891,126,546,28,42,56,70,847,259,56,546,56,119,35,42,140,1792,0,84,2275
2020-12-28,10122,126,567,28,42,56,70,868,266,56,567,56,126,35,49,140,1841,0,91,2338
2020-12-29,11053,140,630,35,49,63,77,938,301,63,630,63,147,42,49,154,2023,0,91,2555
2020-12-30,12621,161,749,42,49,70,84,1071,350,70,749,70,189,56,63,182,2352,0,105,2947
2020-12-31,14105,175,833,42,56,77,98,1190,413,84,847,77,224,63,77,203,2625,0,119,3290
2021-01-01,14588,182,861,42,63,84,98,1239,427,84,889,84,231,63,77,217,2695,0,126,3409
2021-01-02,15190,189,896,42,63,84,105,1295,441,91,924,84,245,63,77,224,2793,0,133,3556
2021-01-03,15680,196,924,42,63,91,112,1330,441,91,945,84,252,63,77,224,2863,0,140,3661
2021-01-04,16457,210,987,49,63,98,119,1386,462,91,1001,91,273,63,77,231,3017,0,147,3857
2021-01-05,17920,224,1092,49,70,105,133,1505,497,105,1092,105,315,70,91,252,3325,0,154,4200
2021-01-06,20062,252,1211,56,77,112,154,1694,539,119,1218,112,371,77,98,280,3724,0,175,4662
2021-01-07,22743,294,1372,63,91,133,182,1939,623,133,1372,133,427,91,112,322,4263,0,203,5271
2021-01-08,25858,329,1540,70,105,154,189,2156,714,154,1526,154,490,98,126,357,4844,0,238,5950
2021-01-09,28574,350,1680,77,119,161,210,2387,791,168,1624,168,539,112,133,378,5313,0,266,6559
2021-01-10,30499,371,1771,84,133,168,217,2513,826,175,1701,182,567,126,140,399,5649,0,287,7042
2021-01-11,32739,392,1918,91,140,182,231,2660,861,189,1806,210,616,133,147,427,6069,0,308,7560
2021-01-12,35406,420,2058,98,154,189,245,2849,903,196,1925,231,686,147,154,469,6573,0,329,8120
2021-01-13,38199,448,2233,105,161,210,252,3066,973,224,2065,266,798,168,168,490,7133,0,371,8722
2021-01-14,41286,476,2429,119,175,224,273,3290,1057,252,2233,301,896,196,182,525,7707,0,406,9359
2021-01-15,44513,511,2646,133,189,245,308,3514,1127,294,2380,336,1008,210,196,574,8302,0,455,9982
2021-01-16,47082,525,2786,154,196,252,315,3689,1204,322,2471,364,1050,217,203,595,8771,0,483,10514
2021-01-17,48923,546,2877,154,203,259,329,3843,1246,343,2541,378,1092,224,210,616,9079,0,504,10934
2021-01-18,51331,567,3031,161,217,273,343,3983,1281,350,2611,399,1155,238,224,637,9492,0,532,11459
2021-01-19,54145,609,3192,182,238,280,364,4144,1344,371,2709,427,1253,252,231,665,10017,0,560,12005
2021-01-20,56973,637,3360,196,252,301,378,4305,1407,406,2814,455,1344,273,245,700,10577,0,588,12579
2021-01-21,59661,658,3521,196,273,308,392,4459,1456,441,2905,490,1435,294,252,735,11074,0,623,13125
