,True
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,483
2020-12-09,1337
2020-12-10,2352
2020-12-11,3416
2020-12-12,4319
2020-12-13,4851
2020-12-14,5712
2020-12-15,7273
2020-12-16,9149
2020-12-17,11508
2020-12-18,13888
2020-12-19,15743
2020-12-20,18242
2020-12-21,21539
2020-12-22,24584
2020-12-23,28140
2020-12-24,29918
2020-12-25,29939
2020-12-26,30100
2020-12-27,30555
2020-12-28,31332
2020-12-29,34006
2020-12-30,39228
2020-12-31,44240
2021-01-01,45682
2021-01-02,47411
2021-01-03,48783
2021-01-04,51198
2021-01-05,55713
2021-01-06,61978
2021-01-07,70791
2021-01-08,80185
2021-01-09,88039
2021-01-10,93345
2021-01-11,99813
2021-01-12,107562
2021-01-13,116284
2021-01-14,125510
2021-01-15,135303
2021-01-16,143766
2021-01-17,149814
2021-01-18,156744
2021-01-19,165116
2021-01-20,173740
2021-01-21,181559
2021-01-22,189812
2021-01-23,197309
2021-01-24,202153
2021-01-25,207172
2021-01-26,212926
2021-01-27,218953
2021-01-28,225680
2021-01-29,233051
2021-01-30,239344
2021-01-31,244965
2021-02-01,249858
2021-02-02,256151
2021-02-03,263333
2021-02-04,269801
2021-02-05,273875
2021-02-06,277172
2021-02-07,278992
2021-02-08,281267
2021-02-09,285915
2021-02-10,293552
2021-02-11,306621
2021-02-12,320145
2021-02-13,329532
2021-02-14,333900
2021-02-15,338849
2021-02-16,382172
2021-02-17,478674
2021-02-18,561666
2021-02-19,617148
2021-02-20,648137
2021-02-21,657552
2021-02-22,665889
2021-02-23,734699
2021-02-24,848148
2021-02-25,956578
2021-02-26,1062922
2021-02-27,1135197
2021-02-28,1148119
2021-03-01,1150436
2021-03-02,1152522
2021-03-03,1157002
2021-03-04,1161034
2021-03-05,1164478
2021-03-06,1166396
2021-03-07,1166711
2021-03-08,1167026
2021-03-09,1168188
2021-03-10,1169861
2021-03-11,1172367
2021-03-12,1174495
2021-03-13,1176385
2021-03-14,1176651
2021-03-15,1176959
2021-03-16,1177596
2021-03-17,1178800
2021-03-18,1179185
total,4165987
