,1,2,3,4,5
2020-12-01,0,0,0,0,0
2020-12-02,0,0,0,0,0
2020-12-03,0,0,0,0,0
2020-12-04,0,0,0,0,0
2020-12-05,0,0,0,0,0
2020-12-06,0,0,0,0,0
2020-12-07,0,0,0,0,0
2020-12-08,42,84,126,203,238
2020-12-09,105,203,266,357,455
2020-12-10,189,343,441,602,805
2020-12-11,280,539,686,917,1246
2020-12-12,336,672,917,1176,1526
2020-12-13,343,714,966,1211,1575
2020-12-14,448,938,1246,1554,1960
2020-12-15,2919,3906,5383,5551,6125
2020-12-16,6986,9086,12124,13790,15358
2020-12-17,10724,14259,18851,21357,24213
2020-12-18,14623,18515,24136,27524,31479
2020-12-19,19327,23947,30814,35077,40299
2020-12-20,22323,27846,35665,40810,46704
2020-12-21,24500,30709,39333,44765,50295
2020-12-22,27930,35203,45164,51632,58891
2020-12-23,30604,38598,49322,57365,65856
2020-12-24,31409,39501,50638,58989,67634
2020-12-25,31409,39501,50638,58989,67634
2020-12-26,31409,39501,50645,58996,67648
2020-12-27,31430,39508,50652,59003,67662
2020-12-28,31479,39536,50673,59045,67718
2020-12-29,32634,40824,52234,61019,69783
2020-12-30,35070,43890,55930,65380,74060
2020-12-31,36561,45724,58975,68264,77630
2021-01-01,36841,46158,59822,68943,78722
2021-01-02,37331,46963,61033,70210,80416
2021-01-03,37429,47068,61159,70364,80710
2021-01-04,37604,47285,61404,70672,81032
2021-01-05,38185,48363,62587,71813,82523
2021-01-06,39389,50169,64652,74256,85589
2021-01-07,43666,56343,72681,84322,97377
2021-01-08,49644,65079,83566,97524,112896
2021-01-09,55930,73038,94059,110978,129990
2021-01-10,58898,76860,99183,117096,136479
2021-01-11,60361,78519,101276,119609,138922
2021-01-12,63021,82215,106057,125888,147091
2021-01-13,67564,88746,114793,137739,161000
2021-01-14,73983,97419,124509,150073,175315
2021-01-15,82334,107345,136143,164346,192416
2021-01-16,88704,117257,148197,175966,205877
2021-01-17,91189,120988,153538,180824,211295
2021-01-18,92113,122731,155687,182728,213801
2021-01-19,97083,130095,164409,192584,226632
2021-01-20,100324,134939,170618,199241,234892
2021-01-21,101962,137256,173663,202580,238504
2021-01-22,103929,140238,177002,206437,242501
2021-01-23,105350,142555,179886,209153,245112
2021-01-24,105777,143164,180810,209944,245910
2021-01-25,106050,143591,181160,210308,246239
2021-01-26,106225,143927,181391,210609,246624
2021-01-27,106456,144277,181776,210952,247149
2021-01-28,107093,145439,183337,212751,248745
2021-01-29,108038,146916,184884,214501,250397
2021-01-30,108577,147931,185871,215705,251342
2021-01-31,108962,148617,186536,216510,251951
2021-02-01,109214,148995,186837,216881,252301
2021-02-02,109396,149254,187061,217105,252518
2021-02-03,109634,149590,187369,217413,252812
2021-02-04,109809,149779,187551,217581,252973
2021-02-05,109872,149842,187628,217665,253015
2021-02-06,109886,149863,187663,217686,253036
2021-02-07,109893,149877,187670,217693,253057
2021-02-08,109907,149898,187684,217707,253071
2021-02-09,109977,149940,187740,217763,253120
2021-02-10,110103,150031,187803,217819,253190
2021-02-11,110257,150157,187908,217931,253281
2021-02-12,110341,150255,188006,218022,253351
2021-02-13,110418,150325,188048,218064,253379
2021-02-14,110432,150339,188062,218071,253386
2021-02-15,110453,150360,188076,218085,253393
2021-02-16,110523,150416,188111,218127,253421
2021-02-17,110614,150507,188188,218197,253484
2021-02-18,110705,150612,188258,218267,253554
2021-02-19,110761,150654,188300,218295,253575
2021-02-20,110782,150675,188321,218302,253589
2021-02-21,110789,150682,188321,218302,253596
2021-02-22,110803,150710,188328,218309,253603
2021-02-23,110880,150773,188405,218351,253638
2021-02-24,110978,150857,188510,218421,253701
2021-02-25,111104,150962,188664,218498,253792
2021-02-26,111216,151060,188776,218596,253904
2021-02-27,111272,151116,188825,218666,253988
2021-02-28,111286,151137,188846,218694,254037
2021-03-01,111300,151158,188860,218708,254058
2021-03-02,111356,151235,189021,218925,254282
2021-03-03,111517,151564,189497,219597,255066
2021-03-04,111853,152089,190008,220234,255808
2021-03-05,112140,152446,190295,220563,256025
2021-03-06,112273,152544,190435,220675,256130
2021-03-07,112273,152551,190456,220696,256151
2021-03-08,112294,152565,190491,220717,256172
2021-03-09,112441,152754,190841,221109,256788
2021-03-10,112742,153090,191296,221767,257558
2021-03-11,113057,153510,191758,222509,258181
2021-03-12,113393,153937,192185,223167,258657
2021-03-13,113687,154140,192283,223377,258825
2021-03-14,113764,154168,192304,223433,258839
2021-03-15,113841,154210,192339,223489,258888
2021-03-16,114009,154364,192549,223818,259119
2021-03-17,114156,154553,192934,224294,259623
2021-03-18,114436,154847,193235,224686,260106
2021-03-19,114737,155183,193690,225162,260582
2021-03-20,114835,155281,193844,225337,260778
2021-03-21,114856,155309,193858,225351,260806
2021-03-22,114863,155323,193886,225372,260813
2021-03-23,114975,155477,194131,225589,261240
2021-03-24,115080,155645,194278,225946,261758
total,196308,246456,292411,330799,375375
