,True
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,28
2020-12-30,42
2020-12-31,56
2021-01-01,63
2021-01-02,70
2021-01-03,70
2021-01-04,133
2021-01-05,287
2021-01-06,462
2021-01-07,819
2021-01-08,1645
2021-01-09,2541
2021-01-10,2947
2021-01-11,4095
2021-01-12,5327
2021-01-13,6818
2021-01-14,8729
2021-01-15,11431
2021-01-16,13258
2021-01-17,14098
2021-01-18,15722
2021-01-19,17325
2021-01-20,19411
2021-01-21,22470
2021-01-22,26222
2021-01-23,29554
2021-01-24,30996
2021-01-25,33026
2021-01-26,35329
2021-01-27,38269
2021-01-28,41293
2021-01-29,44800
2021-01-30,47355
2021-01-31,48853
2021-02-01,50841
2021-02-02,53228
2021-02-03,56014
2021-02-04,60809
2021-02-05,68005
2021-02-06,77847
2021-02-07,82096
2021-02-08,86926
2021-02-09,92799
2021-02-10,99771
2021-02-11,106673
2021-02-12,121023
2021-02-13,139881
2021-02-14,150836
2021-02-15,163198
2021-02-16,177072
2021-02-17,190337
2021-02-18,209993
2021-02-19,235655
2021-02-20,280868
2021-02-21,290913
2021-02-22,308294
2021-02-23,325696
2021-02-24,343903
2021-02-25,363615
2021-02-26,389571
2021-02-27,420504
2021-02-28,433797
2021-03-01,449239
2021-03-02,470358
2021-03-03,497756
2021-03-04,548233
2021-03-05,618443
2021-03-06,685090
2021-03-07,701680
2021-03-08,721112
2021-03-09,739928
2021-03-10,761761
2021-03-11,780738
2021-03-12,793646
2021-03-13,793653
total,2409225
