,F,M
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,175,49
2020-12-09,399,119
2020-12-10,672,203
2020-12-11,917,294
2020-12-12,1190,378
2020-12-13,1330,434
2020-12-14,1540,511
2020-12-15,1960,630
2020-12-16,2345,777
2020-12-17,2849,973
2020-12-18,3339,1183
2020-12-19,3745,1372
2020-12-20,4235,1589
2020-12-21,4886,1862
2020-12-22,5530,2163
2020-12-23,6321,2548
2020-12-24,6685,2702
2020-12-25,6692,2702
2020-12-26,6706,2709
2020-12-27,6769,2737
2020-12-28,6944,2793
2020-12-29,7413,2975
2020-12-30,8638,3465
2020-12-31,9751,3934
2021-01-01,10052,4039
2021-01-02,10339,4165
2021-01-03,10528,4256
2021-01-04,10955,4417
2021-01-05,11739,4711
2021-01-06,12943,5243
2021-01-07,14854,6188
2021-01-08,17346,7763
2021-01-09,20279,9688
2021-01-10,21455,10213
2021-01-11,23037,11067
2021-01-12,25214,12292
2021-01-13,27944,13811
2021-01-14,31535,16212
2021-01-15,35966,19271
2021-01-16,39886,21861
2021-01-17,42168,23156
2021-01-18,44681,24731
2021-01-19,50428,28882
2021-01-20,59073,35553
2021-01-21,69818,44156
2021-01-22,87801,58982
2021-01-23,110859,78344
2021-01-24,119707,86037
2021-01-25,128058,93275
2021-01-26,140210,103726
2021-01-27,153923,115269
2021-01-28,177478,136297
2021-01-29,210399,164948
2021-01-30,253715,202930
2021-01-31,280567,226905
2021-02-01,305081,249599
2021-02-02,338429,280763
2021-02-03,387261,326242
2021-02-04,440594,376908
2021-02-05,492996,425712
2021-02-06,568680,494396
2021-02-07,605521,528458
2021-02-08,636769,558509
2021-02-09,675724,595560
2021-02-10,708848,626472
2021-02-11,741937,657027
2021-02-12,770147,682822
2021-02-13,795592,705509
2021-02-14,803180,712677
2021-02-15,809578,718620
2021-02-16,817047,725746
2021-02-17,825664,733852
2021-02-18,833728,741153
2021-02-19,840686,747229
2021-02-20,847518,753046
2021-02-21,850227,755391
2021-02-22,853944,758611
2021-02-23,861315,764736
2021-02-24,871318,772870
2021-02-25,883645,782124
2021-02-26,896119,791119
2021-02-27,905765,797769
2021-02-28,909503,800387
2021-03-01,912450,802480
2021-03-02,915523,804615
2021-03-03,920136,807716
2021-03-04,926100,811951
2021-03-05,931945,815906
2021-03-06,937839,819805
2021-03-07,939379,820932
2021-03-08,941269,822290
2021-03-09,943299,823774
2021-03-10,945077,824999
total,1085441,936432
