,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-07,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-08,203,0,7,0,0,0,0,7,0,0,7,0,0,0,0,7,35,0,0,35
2020-12-09,504,7,28,0,0,0,0,35,14,0,21,0,7,0,0,7,84,0,0,91
2020-12-10,889,14,49,0,0,7,0,56,21,0,42,0,7,0,0,14,161,0,0,189
2020-12-11,1302,14,70,0,7,7,0,105,35,0,63,0,14,7,0,21,238,0,7,301
2020-12-12,1659,14,98,0,14,14,0,126,35,0,91,0,21,7,0,21,294,0,7,385
2020-12-13,1820,14,112,0,14,14,0,147,42,0,98,0,21,7,0,28,315,0,14,413
2020-12-14,2156,21,126,0,14,14,7,168,49,0,119,0,21,7,7,35,385,0,14,490
2020-12-15,2821,28,175,0,14,14,14,231,63,7,147,7,28,7,7,42,497,0,21,637
2020-12-16,3570,42,210,7,21,21,28,294,84,14,189,7,42,14,7,49,609,0,28,798
2020-12-17,4459,56,266,7,21,28,35,385,119,21,231,7,56,14,14,56,770,0,42,1015
2020-12-18,5348,70,329,14,28,35,42,497,147,28,280,21,70,14,21,70,966,0,49,1246
2020-12-19,6090,77,357,14,28,35,49,567,168,35,322,21,77,14,21,77,1085,0,56,1442
2020-12-20,7105,91,399,21,28,42,56,672,189,49,378,28,84,14,28,98,1295,0,63,1659
2020-12-21,8421,105,462,21,42,49,63,742,217,56,441,35,98,21,35,112,1526,0,77,1953
2020-12-22,9611,126,525,28,42,56,70,826,238,56,511,49,112,21,42,119,1743,0,98,2184
2020-12-23,10955,133,595,35,49,63,77,931,266,63,588,56,126,28,49,140,1974,0,112,2485
2020-12-24,11550,140,623,35,49,63,77,980,294,63,630,56,140,35,56,147,2093,0,119,2625
2020-12-25,11557,140,623,35,49,63,77,980,294,63,630,56,140,35,56,147,2093,0,119,2625
2020-12-26,11627,140,637,35,49,63,84,994,301,63,644,56,140,35,56,154,2107,0,119,2639
2020-12-27,11767,147,651,35,56,63,84,1008,308,63,651,63,147,35,56,161,2135,0,119,2688
