,True
2020-12-29,126
2020-12-30,343
2020-12-31,581
2021-01-01,686
2021-01-02,931
2021-01-03,1071
2021-01-04,1582
2021-01-05,2247
2021-01-06,3024
2021-01-07,3948
2021-01-08,4963
2021-01-09,5642
2021-01-10,6405
2021-01-11,6923
2021-01-12,7266
2021-01-13,7511
2021-01-14,7728
2021-01-15,7875
2021-01-16,7945
2021-01-17,7994
2021-01-18,8050
2021-01-19,8120
2021-01-20,8204
2021-01-21,8267
2021-01-22,8316
2021-01-23,8351
2021-01-24,8393
2021-01-25,8428
2021-01-26,8463
2021-01-27,8505
2021-01-28,8568
2021-01-29,8715
2021-01-30,8855
2021-01-31,8960
2021-02-01,9023
2021-02-02,9065
2021-02-03,9184
2021-02-04,9303
2021-02-05,9373
2021-02-06,9394
2021-02-07,9415
2021-02-08,9485
2021-02-09,9611
2021-02-10,9793
2021-02-11,9975
2021-02-12,10136
2021-02-13,10241
2021-02-14,10269
2021-02-15,10339
2021-02-16,10521
2021-02-17,10738
2021-02-18,11004
2021-02-19,11263
2021-02-20,11389
2021-02-21,11522
2021-02-22,11830
2021-02-23,12355
2021-02-24,13153
2021-02-25,14119
2021-02-26,15015
2021-02-27,15813
2021-02-28,16296
2021-03-01,16933
2021-03-02,18074
2021-03-03,19537
2021-03-04,21000
2021-03-05,22288
2021-03-06,23107
2021-03-07,23422
2021-03-08,24584
2021-03-09,26516
2021-03-10,28861
2021-03-11,30884
2021-03-12,32844
2021-03-13,34118
2021-03-14,34720
2021-03-15,36330
2021-03-16,38962
2021-03-17,42035
2021-03-18,43904
2021-03-19,43918
total,2426214
