,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Wave 1,23.9%,72163,301889,23.7%,0.2%
Wave 2,67.3%,1721279,2558906,67.0%,0.3%
Wave 3,45.7%,900515,1970234,45.7%,0.0%
Wave 4,32.3%,1513302,4690203,32.2%,0.0%
Wave 5,29.9%,739081,2472862,29.8%,0.0%
Wave 6,28.3%,1178800,4165987,28.1%,0.2%
Wave 7,16.9%,360815,2139200,16.8%,0.1%
Wave 8,13.4%,374094,2790228,13.2%,0.2%
Wave 9,11.3%,350826,3097668,11.2%,0.2%
Other,4.4%,1480661,33743290,4.3%,0.0%
Population,15.0%,8691536,57930467,14.9%,0.1%
