,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Wave 1,11.4%,34342,301889,7.0%,4.4%
Wave 2,23.1%,591367,2558906,19.6%,3.5%
Wave 3,1.9%,36925,1970234,1.2%,0.7%
Wave 4,1.4%,66521,4690203,1.0%,0.4%
Wave 5,1.1%,26040,2472862,0.8%,0.3%
Wave 6,1.7%,71001,4165987,1.2%,0.5%
Wave 7,2.0%,41762,2139200,1.4%,0.5%
Wave 8,2.2%,60676,2790228,1.6%,0.6%
Wave 9,2.0%,61943,3097668,1.4%,0.6%
Other,0.8%,267337,33743290,0.6%,0.2%
Population,2.2%,1257914,57930467,1.7%,0.5%
