,True
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,224
2020-12-09,672
2020-12-10,1120
2020-12-11,1561
2020-12-12,1995
2020-12-13,2296
2020-12-14,2702
2020-12-15,3360
2020-12-16,4242
2020-12-17,5285
2020-12-18,6293
2020-12-19,7112
2020-12-20,8183
2020-12-21,9576
2020-12-22,10899
2020-12-23,12530
2020-12-24,13265
2020-12-25,13272
2020-12-26,13293
2020-12-27,13517
2020-12-28,13860
2020-12-29,14917
2020-12-30,17276
2020-12-31,19663
2021-01-01,20293
2021-01-02,20993
2021-01-03,21595
2021-01-04,22645
2021-01-05,24605
2021-01-06,27265
2021-01-07,31493
2021-01-08,36127
2021-01-09,40061
2021-01-10,42455
2021-01-11,45920
2021-01-12,50281
2021-01-13,55153
2021-01-14,60375
2021-01-15,66409
2021-01-16,71785
2021-01-17,75264
2021-01-18,79289
2021-01-19,84056
2021-01-20,89439
2021-01-21,95032
2021-01-22,101815
2021-01-23,107338
2021-01-24,110593
2021-01-25,114499
2021-01-26,119133
2021-01-27,123494
2021-01-28,128198
2021-01-29,133588
2021-01-30,138012
2021-01-31,141092
2021-02-01,144060
2021-02-02,147581
2021-02-03,151606
2021-02-04,156569
2021-02-05,161441
2021-02-06,166544
2021-02-07,169309
2021-02-08,172242
2021-02-09,176582
2021-02-10,182833
2021-02-11,192136
2021-02-12,205842
2021-02-13,220626
2021-02-14,228669
2021-02-15,237601
2021-02-16,267351
2021-02-17,323414
2021-02-18,377034
2021-02-19,418201
2021-02-20,460516
2021-02-21,473774
2021-02-22,489510
2021-02-23,533638
2021-02-24,593880
2021-02-25,656873
2021-02-26,721875
2021-02-27,771694
2021-02-28,787297
2021-03-01,799162
2021-03-02,813589
2021-03-03,841281
2021-03-04,880460
2021-03-05,923349
2021-03-06,969878
2021-03-07,981050
2021-03-08,994126
2021-03-09,1008889
2021-03-10,1026277
2021-03-11,1040858
2021-03-12,1067857
2021-03-13,1107057
2021-03-14,1124011
2021-03-15,1146075
2021-03-16,1170421
2021-03-17,1191925
2021-03-18,1214948
2021-03-19,1239168
2021-03-20,1270871
2021-03-21,1283310
2021-03-22,1295427
2021-03-23,1306914
2021-03-24,1317911
total,1743238
