,1,2,3,4,5
2020-12-01,0,0,0,0,0
2020-12-02,0,0,0,0,0
2020-12-03,0,0,0,0,0
2020-12-04,0,0,0,0,0
2020-12-05,0,0,0,0,0
2020-12-06,0,0,0,0,0
2020-12-07,0,0,0,0,0
2020-12-08,42,84,126,203,238
2020-12-09,105,203,266,357,455
2020-12-10,189,343,441,602,798
2020-12-11,280,539,693,917,1246
2020-12-12,336,672,917,1183,1526
2020-12-13,343,714,966,1211,1575
2020-12-14,448,938,1246,1554,1960
2020-12-15,2968,4053,5432,5593,6146
2020-12-16,7049,9247,12180,13860,15393
2020-12-17,10794,14441,18907,21441,24262
2020-12-18,14693,18711,24199,27615,31542
2020-12-19,19397,24143,30877,35168,40376
2020-12-20,22400,28049,35735,40908,46788
2020-12-21,24577,30912,39403,44863,50379
2020-12-22,28021,35413,45241,51730,58982
2020-12-23,30709,38808,49406,57470,65961
2020-12-24,31514,39718,50715,59094,67732
2020-12-25,31514,39718,50722,59094,67732
2020-12-26,31514,39718,50722,59101,67746
2020-12-27,31535,39718,50736,59108,67760
2020-12-28,31577,39753,50757,59150,67816
2020-12-29,32739,41041,52311,61124,69881
2020-12-30,35182,44107,56007,65485,74165
2020-12-31,36673,45941,59052,68369,77728
2021-01-01,36953,46375,59906,69055,78820
2021-01-02,37443,47187,61117,70329,80521
2021-01-03,37534,47285,61243,70483,80808
2021-01-04,37716,47502,61481,70791,81137
2021-01-05,38304,48601,62671,71939,82628
2021-01-06,39522,50421,64743,74382,85694
2021-01-07,43834,56602,72772,84462,97496
2021-01-08,49854,65331,83650,97664,112980
2021-01-09,56147,73297,94150,111125,130074
2021-01-10,59115,77119,99281,117243,136570
2021-01-11,60564,78771,101374,119763,139006
2021-01-12,63238,82481,106155,126098,147224
2021-01-13,67837,89033,114898,137991,161070
2021-01-14,74284,97720,124621,150339,175385
2021-01-15,82649,107646,136255,164626,192507
2021-01-16,89033,117586,148316,176274,205975
2021-01-17,91532,121331,153657,181132,211400
2021-01-18,92456,123074,155799,183043,213899
2021-01-19,97440,130452,164542,192899,226730
2021-01-20,100695,135303,170758,199577,235004
2021-01-21,102326,137627,173803,202916,238616
2021-01-22,104293,140609,177142,206780,242620
2021-01-23,105714,142933,180040,209503,245238
2021-01-24,106141,143549,180957,210308,246050
2021-01-25,106421,143969,181314,210672,246379
2021-01-26,106596,144312,181538,210973,246764
2021-01-27,106820,144662,181930,211316,247289
2021-01-28,107464,145824,183491,213122,248885
2021-01-29,108409,147308,185038,214872,250537
2021-01-30,108955,148323,186025,216076,251482
2021-01-31,109333,149009,186690,216881,252091
2021-02-01,109592,149387,186991,217252,252434
2021-02-02,109774,149653,187215,217476,252651
2021-02-03,110012,149982,187523,217784,252945
2021-02-04,110187,150171,187705,217959,253113
2021-02-05,110250,150241,187789,218036,253155
2021-02-06,110264,150255,187817,218057,253176
2021-02-07,110271,150276,187824,218071,253190
2021-02-08,110285,150297,187845,218085,253211
2021-02-09,110355,150339,187894,218134,253260
2021-02-10,110481,150430,187957,218197,253330
2021-02-11,110635,150556,188062,218309,253414
2021-02-12,110726,150654,188160,218400,253491
2021-02-13,110796,150724,188202,218442,253519
2021-02-14,110810,150738,188216,218449,253526
2021-02-15,110838,150752,188237,218463,253533
2021-02-16,110901,150815,188265,218512,253561
2021-02-17,110992,150906,188342,218575,253624
2021-02-18,111083,151011,188412,218645,253694
2021-02-19,111146,151053,188454,218673,253715
2021-02-20,111167,151074,188475,218680,253729
2021-02-21,111167,151081,188475,218687,253729
2021-02-22,111188,151109,188482,218687,253743
2021-02-23,111258,151172,188559,218736,253778
2021-02-24,111363,151256,188664,218799,253841
2021-02-25,111489,151368,188818,218883,253932
2021-02-26,111594,151459,188937,218981,254044
2021-02-27,111650,151515,188986,219051,254128
2021-02-28,111671,151543,189000,219079,254177
2021-03-01,111678,151557,189014,219093,254198
2021-03-02,111734,151641,189175,219303,254422
2021-03-03,111895,151970,189658,219982,255206
2021-03-04,112231,152488,190162,220612,255955
2021-03-05,112518,152852,190456,220941,256165
2021-03-06,112651,152943,190589,221053,256270
2021-03-07,112651,152950,190610,221074,256291
2021-03-08,112672,152971,190645,221095,256312
2021-03-09,112819,153160,190995,221487,256928
2021-03-10,113120,153475,191443,222138,257698
2021-03-11,113435,153902,191905,222887,258328
2021-03-12,113771,154329,192332,223545,258811
2021-03-13,114079,154532,192430,223755,258979
2021-03-14,114156,154560,192451,223811,258993
2021-03-15,114226,154602,192486,223867,259042
2021-03-16,114394,154756,192696,224189,259266
2021-03-17,114541,154952,193067,224665,259742
2021-03-18,114695,155127,193270,224910,260008
total,196350,246463,292446,330813,375382
