,0,1,2,3,4,5,6,7,8,9
2020-11-30,0,0,0,0,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0,0,0,0,0
2020-12-08,686,7,700,28,224,63,266,98,161,210
2020-12-09,2093,21,1407,49,546,182,672,329,511,525
2020-12-10,4018,28,2394,91,931,322,1239,602,889,938
2020-12-11,6041,42,3689,154,1393,483,1855,882,1309,1386
2020-12-12,7770,49,4648,182,1736,595,2324,1085,1610,1715
2020-12-13,8603,49,4830,189,1855,644,2555,1197,1778,1911
2020-12-14,10388,56,6160,245,2142,770,3010,1435,2149,2310
2020-12-15,13335,147,24213,448,2737,1029,3920,1883,2863,3080
2020-12-16,16961,413,57736,931,3535,1344,4914,2443,3710,3941
2020-12-17,21357,742,89859,1337,4501,1806,6230,3248,4844,5152
2020-12-18,26075,903,116760,1890,5565,2282,7609,4004,6083,6377
2020-12-19,29974,1113,149968,2758,6713,2779,8652,4683,7028,7336
2020-12-20,34993,1372,173887,3619,7945,3346,10080,5635,8330,8645
2020-12-21,41650,1666,190148,4620,9254,4011,11991,6748,9933,10262
2020-12-22,48055,1904,219401,5446,10493,4627,13706,7735,11557,11858
2020-12-23,55258,2758,242361,6636,11900,5257,15645,8883,13272,13587
2020-12-24,59066,3143,248787,6867,12572,5558,16688,9478,14105,14462
2020-12-25,59136,3157,248794,6867,12586,5565,16702,9485,14112,14469
2020-12-26,59801,3192,248815,6867,12663,5600,16835,9541,14217,14581
2020-12-27,61019,3192,248871,6881,12824,5656,17073,9660,14406,14791
2020-12-28,63105,3199,249067,6902,13097,5782,17500,9877,14749,15148
2020-12-29,69664,4613,257110,7511,14252,6300,19131,10759,16002,16457
2020-12-30,80948,11459,274953,9541,16415,7287,22001,12390,18284,18914
2020-12-31,91140,15918,287777,12817,18557,8169,24633,13769,20482,21280
2021-01-01,94402,16611,291123,14462,19173,8463,25473,14273,21168,22008
2021-01-02,98595,17227,296604,16254,20153,8785,26516,14833,21973,22883
2021-01-03,101731,17381,297367,16576,20706,9009,27286,15239,22582,23569
2021-01-04,108220,17654,298641,16779,21532,9394,28693,16030,23849,24941
2021-01-05,119805,18872,304157,17675,23506,10164,31311,17493,26152,27440
2021-01-06,135520,21322,314769,19901,25760,11403,35000,19663,29330,30863
2021-01-07,155274,25781,355180,31297,30324,13125,39760,22603,33670,35301
2021-01-08,176603,29771,409486,47089,35819,15260,45052,25767,38395,39977
2021-01-09,194712,31934,464800,59493,41370,17234,49588,28532,42266,44079
2021-01-10,208439,32466,489335,64792,44058,18382,52822,30345,44996,46984
2021-01-11,225673,33103,499499,68719,47243,19376,56644,32389,48307,50533
2021-01-12,245826,33775,525210,75054,52087,20657,61096,34944,52444,54733
2021-01-13,267911,34797,570829,94031,60312,22575,65989,37968,56889,59367
2021-01-14,289919,35763,622356,114464,70861,24731,71309,41069,61488,64043
2021-01-15,313348,36701,683697,136276,80241,26866,76825,44142,65982,68796
2021-01-16,332297,37226,737191,153601,85617,28539,81116,46613,69524,72541
2021-01-17,346108,37485,759066,163394,90202,29666,84189,48454,72247,75516
2021-01-18,364105,37751,768285,168385,94948,31094,88179,50750,75642,79037
2021-01-19,384643,38157,812084,201145,109053,32872,92883,53403,79590,83083
2021-01-20,406035,38710,841337,234661,129171,34972,97671,56112,83510,87409
2021-01-21,425887,38955,855309,255619,146958,37457,102179,58695,87297,91224
2021-01-22,445221,39123,871458,283780,172543,40600,106806,61131,90965,95137
2021-01-23,460523,39235,883442,306915,202013,43862,110901,63175,93912,98133
2021-01-24,470183,39284,887019,316001,215992,45941,113540,64589,95921,100128
2021-01-25,482454,39305,888762,318570,221865,47082,116256,66031,98252,102459
2021-01-26,496244,39340,890197,321349,228578,48335,119476,67858,100863,105350
2021-01-27,510867,39396,892031,326515,238749,50204,122927,69734,103614,108192
2021-01-28,525490,39480,898800,350924,269192,54397,126910,71792,106449,111230
2021-01-29,541478,39725,906178,404628,326557,61215,131285,73941,109403,114380
2021-01-30,553623,39886,910868,442463,387821,68824,135072,75957,111797,116914
2021-01-31,562093,40033,914018,464191,437556,78491,138670,77980,113470,118783
2021-02-01,571396,40110,915670,477351,468713,85085,141883,80038,115269,120666
2021-02-02,582365,40187,916776,486563,506583,92687,146125,82810,117355,122934
2021-02-03,593803,40306,918267,496776,580986,101780,150885,86058,119686,125244
2021-02-04,603939,40432,919149,501956,635159,110852,154616,88067,121765,127344
2021-02-05,611758,40474,919485,503454,655816,115577,157017,89481,123263,128940
2021-02-06,617050,40495,919583,504259,662529,117544,159103,90251,124362,130039
2021-02-07,619647,40502,919646,504637,665182,118307,160167,90748,124999,130592
2021-02-08,624309,40509,919723,504931,669340,121506,161581,91455,125867,131439
2021-02-09,631379,40551,919996,505897,685692,136766,164542,92876,127351,132874
2021-02-10,639611,40628,920402,507052,703619,163772,169407,95291,129024,134582
2021-02-11,647822,40740,920990,508389,727741,208040,177177,99211,131229,136388
2021-02-12,655977,40838,921438,509460,744065,247646,185073,103418,133217,138117
2021-02-13,660835,40908,921690,510027,752241,269815,190575,106498,134848,139265
2021-02-14,662725,40922,921760,510153,753753,276934,192885,107919,135744,139720
2021-02-15,666274,40936,921837,510258,755447,283108,196154,109074,136542,140406
