,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2020-12-29,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,28
2020-12-30,301,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,84,0,0,77
2020-12-31,497,0,28,0,0,0,0,21,7,0,21,0,0,0,0,0,126,0,0,133
2021-01-01,560,0,28,0,0,0,0,35,14,0,28,0,0,0,0,0,133,0,0,154
2021-01-02,791,0,49,0,0,0,0,56,14,0,35,0,0,0,0,0,203,0,0,224
2021-01-03,966,7,63,0,0,0,0,84,21,0,42,0,0,0,0,7,273,0,7,273
2021-01-04,1400,7,84,0,7,0,0,133,28,0,63,0,14,0,0,14,392,0,14,420
2021-01-05,1995,14,119,0,7,0,7,189,42,7,98,7,14,0,0,28,539,0,28,595
2021-01-06,2688,21,154,0,7,7,7,259,56,7,133,7,21,0,0,35,728,0,35,819
2021-01-07,3486,35,203,14,7,14,21,336,98,14,175,7,35,0,0,49,938,0,49,1064
2021-01-08,4291,49,252,14,21,28,28,441,119,21,217,14,49,7,14,70,1162,0,56,1323
2021-01-09,4830,56,294,14,21,28,35,525,140,35,245,14,56,7,14,70,1281,0,63,1498
2021-01-10,5502,70,322,14,21,35,35,602,154,35,287,21,56,7,21,84,1477,0,70,1687
2021-01-11,5922,77,343,14,28,35,35,644,175,35,294,21,63,7,21,91,1589,0,70,1813
2021-01-12,6153,84,364,14,28,35,42,665,182,35,301,28,70,7,21,91,1680,0,77,1883
2021-01-13,6307,84,371,14,28,35,42,686,189,35,322,35,70,7,21,91,1722,0,77,1939
2021-01-14,6447,91,385,14,28,35,42,707,189,42,329,35,77,7,21,91,1757,0,77,1981
2021-01-15,6538,91,392,14,28,35,42,714,196,42,329,35,77,7,21,91,1785,0,77,2009
2021-01-16,6594,91,392,14,28,35,42,721,196,42,336,35,77,7,21,98,1806,0,77,2030
2021-01-17,6622,91,392,14,28,35,42,735,196,42,336,35,77,7,21,98,1813,0,77,2037
2021-01-18,6657,91,392,14,28,35,42,742,196,42,343,35,77,7,21,98,1820,0,77,2051
2021-01-19,6692,91,399,14,28,35,42,749,203,42,350,35,77,7,21,105,1841,0,77,2072
2021-01-20,6734,91,406,14,28,42,42,770,210,42,350,35,84,7,21,105,1848,0,77,2086
2021-01-21,6783,91,413,14,28,42,42,784,217,42,357,35,84,7,21,105,1869,0,77,2107
2021-01-22,6818,91,413,14,28,42,49,784,217,42,364,35,84,7,21,105,1883,0,77,2121
2021-01-23,6853,91,413,14,28,42,49,784,224,42,364,35,84,7,21,105,1890,0,77,2128
2021-01-24,6867,91,420,14,28,42,49,791,224,42,364,35,84,7,21,105,1904,0,84,2142
2021-01-25,6888,91,420,14,28,42,49,798,224,42,371,35,84,7,21,112,1904,0,84,2142
2021-01-26,6909,91,420,14,28,42,49,805,224,42,371,35,84,7,21,112,1918,0,84,2149
2021-01-27,6923,91,420,14,28,42,49,805,231,42,378,35,91,7,21,112,1925,0,84,2156
2021-01-28,6972,91,420,14,28,42,49,812,231,42,378,35,91,7,21,112,1939,0,84,2170
2021-01-29,7063,91,434,14,28,42,49,847,238,49,378,35,91,7,28,119,1960,0,84,2205
2021-01-30,7168,98,441,14,28,42,49,861,238,49,385,35,91,7,28,119,1981,0,91,2233
2021-01-31,7231,98,441,14,28,49,56,882,252,49,392,35,98,7,28,119,2030,0,91,2268
2021-02-01,7301,98,448,14,28,49,56,882,252,49,399,35,98,7,28,119,2051,0,91,2289
2021-02-02,7357,105,448,14,35,49,56,889,259,49,399,35,98,14,28,119,2072,0,91,2310
2021-02-03,7441,105,462,14,35,49,56,903,266,49,399,35,98,14,28,119,2107,0,91,2345
2021-02-04,7567,105,462,14,35,49,56,917,273,49,406,35,98,14,28,126,2142,0,91,2387
2021-02-05,7658,105,476,14,35,49,56,931,273,49,413,42,98,14,28,126,2170,0,91,2415
2021-02-06,7679,105,476,14,35,49,56,931,280,49,420,42,98,14,28,126,2170,0,91,2422
2021-02-07,7700,105,476,14,35,49,56,931,280,49,420,42,98,14,28,126,2170,0,91,2429
2021-02-08,7749,105,476,14,35,49,56,945,280,49,427,42,98,14,28,133,2184,0,91,2443
2021-02-09,7875,105,483,14,35,49,56,959,287,49,434,42,105,14,28,133,2212,0,105,2471
2021-02-10,8064,105,497,14,35,49,63,980,294,49,441,42,105,14,28,133,2247,0,105,2520
2021-02-11,8246,112,511,14,35,49,63,1001,315,49,448,42,112,14,28,133,2310,0,112,2569
2021-02-12,8407,112,518,14,42,49,63,1022,322,49,462,42,112,21,28,140,2352,0,112,2611
2021-02-13,8526,112,525,14,42,49,63,1029,329,49,469,42,119,21,35,147,2380,0,112,2660
2021-02-14,8561,112,525,14,42,49,63,1029,329,49,469,42,119,21,35,147,2387,0,112,2674
2021-02-15,8652,112,532,14,42,49,63,1043,329,49,476,42,119,21,35,147,2408,0,112,2695
2021-02-16,8834,112,532,14,42,49,63,1057,343,49,483,49,119,21,35,154,2450,0,126,2744
2021-02-17,9079,119,553,14,42,56,70,1078,350,56,490,49,119,21,35,161,2492,0,126,2814
2021-02-18,9296,126,560,14,42,56,70,1113,371,63,504,49,126,21,42,161,2548,0,133,2884
2021-02-19,9534,126,581,21,49,56,77,1155,378,63,518,49,140,21,42,161,2604,0,140,2954
2021-02-20,9674,126,581,21,49,56,77,1162,385,63,525,49,140,21,42,161,2639,0,140,3003
2021-02-21,9835,126,588,21,49,56,77,1176,392,63,532,49,140,21,42,161,2667,0,140,3024
2021-02-22,10094,126,609,21,49,63,77,1204,399,63,567,49,140,28,42,175,2737,0,140,3136
2021-02-23,10612,140,637,28,56,70,77,1253,413,63,595,56,147,28,42,175,2828,0,147,3255
2021-02-24,11291,147,686,28,56,70,91,1330,427,63,644,56,161,35,49,182,2982,0,154,3458
2021-02-25,12096,154,749,28,63,77,91,1442,455,70,707,63,168,35,49,196,3171,0,154,3703
2021-02-26,12838,161,805,28,63,77,98,1540,497,84,784,77,189,42,56,210,3381,0,168,3934
2021-02-27,13531,168,840,28,70,91,98,1652,518,105,819,77,196,42,56,217,3549,0,175,4137
2021-02-28,14007,175,861,28,70,91,105,1694,525,112,840,77,203,42,56,224,3661,0,182,4270
2021-03-01,14567,182,896,35,70,98,105,1736,539,112,875,77,224,42,56,231,3794,0,189,4431
2021-03-02,15547,182,959,42,77,98,112,1806,560,112,945,84,238,56,63,245,4011,0,203,4697
