,True
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,224
2020-12-09,672
2020-12-10,1120
2020-12-11,1568
2020-12-12,1995
2020-12-13,2303
2020-12-14,2702
2020-12-15,3367
2020-12-16,4249
2020-12-17,5306
2020-12-18,6314
2020-12-19,7133
2020-12-20,8204
2020-12-21,9597
2020-12-22,10941
2020-12-23,12586
2020-12-24,13328
2020-12-25,13335
2020-12-26,13363
2020-12-27,13587
2020-12-28,13937
2020-12-29,15001
2020-12-30,17374
2020-12-31,19775
2021-01-01,20384
2021-01-02,21077
2021-01-03,21679
2021-01-04,22701
2021-01-05,24626
2021-01-06,27223
2021-01-07,31332
2021-01-08,35476
2021-01-09,38836
2021-01-10,40943
2021-01-11,43638
2021-01-12,46998
2021-01-13,50883
2021-01-14,54845
2021-01-15,59178
2021-01-16,63392
2021-01-17,66416
2021-01-18,69405
2021-01-19,73115
2021-01-20,76993
2021-01-21,80367
2021-01-22,84028
2021-01-23,87465
2021-01-24,89691
2021-01-25,92022
2021-01-26,94577
2021-01-27,97181
2021-01-28,99953
2021-01-29,102984
2021-01-30,105518
2021-01-31,107562
2021-02-01,109263
2021-02-02,111293
2021-02-03,113750
2021-02-04,116494
2021-02-05,118181
2021-02-06,119406
2021-02-07,120169
2021-02-08,121030
2021-02-09,122724
2021-02-10,125496
2021-02-11,130802
2021-02-12,136465
2021-02-13,140406
2021-02-14,142569
2021-02-15,144277
2021-02-16,164948
2021-02-17,208341
2021-02-18,243614
2021-02-19,268709
2021-02-20,285271
2021-02-21,289261
2021-02-22,292719
2021-02-23,322546
2021-02-24,367885
2021-02-25,411369
2021-02-26,456421
2021-02-27,486941
2021-02-28,493227
2021-03-01,494263
2021-03-02,495292
2021-03-03,497714
2021-03-04,499618
2021-03-05,500304
2021-03-06,501123
2021-03-07,501235
2021-03-08,501312
2021-03-09,501732
2021-03-10,502488
2021-03-11,503244
2021-03-12,503993
2021-03-13,504959
2021-03-14,505092
2021-03-15,505197
2021-03-16,505309
2021-03-17,505813
2021-03-18,506310
2021-03-19,506695
2021-03-20,507073
2021-03-21,507122
2021-03-22,507213
2021-03-23,507542
2021-03-24,508256
2021-03-25,508963
2021-03-26,509614
2021-03-27,510097
2021-03-28,510230
2021-03-29,510342
2021-03-30,510587
2021-03-31,511042
2021-04-01,511651
2021-04-02,512036
2021-04-03,512218
2021-04-04,512246
2021-04-05,512302
2021-04-06,512337
2021-04-07,512526
2021-04-08,512771
2021-04-09,513135
2021-04-10,513499
2021-04-11,513667
2021-04-12,513723
2021-04-13,513779
2021-04-14,513891
2021-04-15,514052
2021-04-16,514297
2021-04-17,514598
2021-04-18,514773
2021-04-19,514836
2021-04-20,514892
2021-04-21,514997
total,1754263
