,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2020-12-08,168,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,28,0,0,28
2020-12-09,406,7,21,0,0,0,0,28,7,0,14,0,0,0,0,7,70,0,0,84
2020-12-10,721,14,42,0,0,7,0,49,14,0,28,0,7,0,0,7,140,0,0,161
2020-12-11,1071,14,63,0,7,7,0,84,28,0,49,0,14,7,0,14,203,0,7,252
2020-12-12,1344,14,84,0,7,7,0,105,28,0,63,0,14,7,0,21,245,0,7,322
2020-12-13,1477,14,98,0,7,14,0,119,28,0,77,0,14,7,0,21,266,0,7,350
2020-12-14,1736,21,112,0,7,14,7,133,35,0,84,0,14,7,7,28,322,0,14,413
2020-12-15,2282,28,147,0,7,14,14,175,49,7,112,0,21,7,7,28,413,0,14,525
2020-12-16,2884,35,175,7,14,21,21,231,70,14,140,7,28,14,7,35,497,0,21,651
2020-12-17,3619,49,217,7,14,28,28,308,98,14,175,7,49,14,7,49,637,0,28,826
2020-12-18,4375,63,266,14,21,28,35,399,119,21,224,14,56,14,14,56,791,0,35,1015
2020-12-19,4963,63,287,14,21,35,42,462,133,28,252,21,63,14,14,63,896,0,42,1176
2020-12-20,5803,77,322,14,21,35,49,546,154,42,294,21,70,14,21,84,1050,0,49,1358
2020-12-21,6944,91,378,21,28,42,56,616,182,42,350,28,84,21,28,91,1267,0,56,1610
2020-12-22,7973,105,434,21,28,49,56,679,203,49,413,42,98,21,28,98,1449,0,70,1820
2020-12-23,9114,112,490,28,35,49,63,770,224,56,476,49,105,28,35,119,1659,0,84,2093
2020-12-24,9702,119,518,28,42,49,70,826,252,56,518,49,119,35,42,133,1764,0,91,2226
2020-12-25,9702,119,518,28,42,49,70,826,252,56,525,49,119,35,42,133,1771,0,91,2226
2020-12-26,9772,119,532,28,42,49,70,833,259,56,532,56,119,35,42,133,1778,0,91,2240
2020-12-27,9884,126,539,28,42,56,70,847,259,56,546,56,126,35,42,140,1799,0,91,2289
2020-12-28,10108,126,567,28,42,56,70,868,266,56,567,56,126,35,49,140,1848,0,91,2352
2020-12-29,11032,140,623,35,42,56,77,938,294,63,630,63,147,42,49,154,2030,0,91,2562
2020-12-30,12600,161,742,42,49,70,84,1071,350,70,742,70,189,56,63,182,2352,0,105,2954
2020-12-31,14070,175,826,42,56,77,98,1190,413,84,840,77,231,63,77,203,2625,0,126,3304
2021-01-01,14546,182,861,42,56,84,98,1232,427,84,882,84,231,63,77,217,2695,0,126,3430
2021-01-02,15148,189,896,49,56,84,105,1295,434,84,917,84,245,63,77,224,2800,0,133,3570
2021-01-03,15645,196,917,49,56,91,112,1330,441,91,938,84,259,63,77,224,2863,0,140,3675
2021-01-04,16415,210,987,49,56,98,119,1386,455,91,994,91,273,63,77,231,3017,0,147,3878
