,True
2020-12-08,266
2020-12-09,672
2020-12-10,1232
2020-12-11,1841
2020-12-12,2310
2020-12-13,2541
2020-12-14,2989
2020-12-15,3892
2020-12-16,4886
2020-12-17,6188
2020-12-18,7567
2020-12-19,8596
2020-12-20,10010
2020-12-21,11893
2020-12-22,13601
2020-12-23,15519
2020-12-24,16555
2020-12-25,16569
2020-12-26,16695
2020-12-27,16933
2020-12-28,17360
2020-12-29,18977
2020-12-30,21826
2020-12-31,24430
2021-01-01,25263
2021-01-02,26299
2021-01-03,27062
2021-01-04,28455
2021-01-05,31052
2021-01-06,34706
2021-01-07,39424
2021-01-08,44674
2021-01-09,49182
2021-01-10,52381
2021-01-11,56182
2021-01-12,60592
2021-01-13,65457
2021-01-14,70721
2021-01-15,76209
2021-01-16,80465
2021-01-17,83524
2021-01-18,87472
2021-01-19,92141
2021-01-20,96887
2021-01-21,101360
2021-01-22,105966
2021-01-23,110040
2021-01-24,112651
2021-01-25,115353
2021-01-26,118552
2021-01-27,121996
2021-01-28,125951
2021-01-29,130298
2021-01-30,134057
2021-01-31,137641
2021-02-01,140819
2021-02-02,145047
2021-02-03,149779
2021-02-04,153475
2021-02-05,155855
2021-02-06,157913
2021-02-07,158977
2021-02-08,160384
2021-02-09,163303
2021-02-10,168147
2021-02-11,175882
2021-02-12,183771
2021-02-13,189238
2021-02-14,191527
2021-02-15,194775
2021-02-16,217371
2021-02-17,270298
2021-02-18,317828
2021-02-19,348124
2021-02-20,362537
2021-02-21,367962
2021-02-22,372834
2021-02-23,411579
2021-02-24,479472
2021-02-25,544278
2021-02-26,605430
2021-02-27,647059
2021-02-28,653709
2021-03-01,654983
2021-03-02,656040
2021-03-03,658105
2021-03-04,660254
2021-03-05,663005
2021-03-06,664111
2021-03-07,664307
2021-03-08,664545
2021-03-09,665280
2021-03-10,666197
2021-03-11,667863
2021-03-12,668346
total,2409225
