,False
2020-12-08,56
2020-12-09,168
2020-12-10,273
2020-12-11,399
2020-12-12,490
2020-12-13,574
2020-12-14,679
2020-12-15,889
2020-12-16,1113
2020-12-17,1407
2020-12-18,1722
2020-12-19,2037
2020-12-20,2380
2020-12-21,2800
2020-12-22,3199
2020-12-23,3703
2020-12-24,3948
2020-12-25,3948
2020-12-26,3955
2020-12-27,4018
2020-12-28,4130
2020-12-29,4459
2020-12-30,5257
2020-12-31,6062
2021-01-01,6237
2021-01-02,6419
2021-01-03,6552
2021-01-04,6825
2021-01-05,7336
2021-01-06,8148
2021-01-07,9485
2021-01-08,10864
2021-01-09,12089
2021-01-10,12712
2021-01-11,13356
2021-01-12,14245
2021-01-13,15400
2021-01-14,16786
2021-01-15,18326
2021-01-16,19719
2021-01-17,20713
2021-01-18,21602
2021-01-19,23002
2021-01-20,24626
2021-01-21,26222
2021-01-22,28413
2021-01-23,30464
2021-01-24,31717
2021-01-25,32578
2021-01-26,33418
2021-01-27,34342
2021-01-28,36498
2021-01-29,39172
2021-01-30,40957
2021-01-31,43890
2021-02-01,48104
2021-02-02,52143
2021-02-03,57575
2021-02-04,61726
2021-02-05,64365
2021-02-06,66815
2021-02-07,67830
2021-02-08,69608
2021-02-09,84077
2021-02-10,103796
2021-02-11,136542
2021-02-12,170247
2021-02-13,192556
2021-02-14,200613
2021-02-15,205954
2021-02-16,226184
2021-02-17,255423
2021-02-18,271670
2021-02-19,281407
2021-02-20,286762
2021-02-21,287623
2021-02-22,288792
2021-02-23,294504
2021-02-24,305109
2021-02-25,313439
2021-02-26,322350
2021-02-27,327502
2021-02-28,329231
2021-03-01,329406
2021-03-02,329700
2021-03-03,330071
2021-03-04,330295
2021-03-05,330372
2021-03-06,330414
2021-03-07,330442
2021-03-08,330463
2021-03-09,330512
2021-03-10,330617
2021-03-11,330708
2021-03-12,330778
2021-03-13,331037
2021-03-14,331044
2021-03-15,331051
2021-03-16,331065
2021-03-17,331149
2021-03-18,331191
2021-03-19,331233
2021-03-20,331289
2021-03-21,331296
2021-03-22,331310
2021-03-23,331338
2021-03-24,331394
total,1072554
